metric,n,median,minimum,maximum
sections.membership.results.binmult.metrics.max_multiplicity,5,3,3,3
sections.membership.results.binmult.metrics.max_multiplicity_entry,5,509,509,509
sections.membership.results.binmult.metrics.membership_coefficient_or_index_words,5,96,96,96
sections.membership.results.binmult.metrics.membership_inverse_hint_words,5,0,0,0
sections.membership.results.binmult.metrics.membership_queries,5,1022,1022,1022
sections.membership.results.binmult.metrics.membership_total_advice_words,5,96,96,96
sections.membership.results.binmult.metrics.multiplicity_bits,5,12,12,12
sections.membership.results.binmult.metrics.native_constraint_count,5,116538,116538,116538
sections.membership.results.binmult.metrics.nodes,5,447,447,447
sections.membership.results.binmult.metrics.private_input_words,5,127876,127876,127876
sections.membership.results.binmult.metrics.proof_bytes,5,534768,534768,534768
sections.membership.results.binmult.metrics.prove_total_ms,5,144.98487500000002,140.47791700000002,146.068916
sections.membership.results.binmult.metrics.prover_setup_ms,5,43.069375,42.056250000000006,43.706333
sections.membership.results.binmult.metrics.public_words,5,1129,1129,1129
sections.membership.results.binmult.metrics.rayon_num_threads,5,8,8,8
sections.membership.results.binmult.metrics.rows,5,512,512,512
sections.membership.results.binmult.metrics.setup_ms,5,350.11145799999997,343.52612500000004,353.129667
sections.membership.results.binmult.metrics.total_ms,5,604.947334,601.4719170000001,612.9282910000001
sections.membership.results.binmult.metrics.value_words,5,129005,129005,129005
sections.membership.results.binmult.metrics.verifier_setup_ms,5,153.430917,146.22975,154.8755
sections.membership.results.binmult.metrics.verify_ms,5,112.143083,108.594292,114.267792
sections.membership.results.binmult.metrics.witness_localcheck_ms,5,3.609959,3.5761249999999998,3.643125
sections.membership.results.binmult.metrics.zero_allocated,5,32768,32768,32768
sections.membership.results.binmult.metrics.zero_constraints,5,21935,21935,21935
sections.membership.results.binmult.resources.peak_memory_footprint_bytes,5,816301112,813712440,816710712
sections.membership.results.binmult.resources.peak_rss_bytes,5,839188480,836599808,839598080
sections.membership.results.binmult.resources.wall_seconds,5,0.7737149170134217,0.7599836249719374,0.7813845000346191
sections.membership.results.indexed.metrics.addr_bits,5,24,24,24
sections.membership.results.indexed.metrics.and_allocated,5,65536,65536,65536
sections.membership.results.indexed.metrics.and_constraints,5,58007,58007,58007
sections.membership.results.indexed.metrics.bmul_allocated,5,1048576,1048576,1048576
sections.membership.results.indexed.metrics.bmul_constraints,5,528378,528378,528378
sections.membership.results.indexed.metrics.cfg_buffer_words,5,522,522,522
sections.membership.results.indexed.metrics.circuit_build_ms,5,410.724666,408.12275,418.915584
sections.membership.results.indexed.metrics.committed_words,5,1048576,1048576,1048576
sections.membership.results.indexed.metrics.crypto_prove_ms,5,530.4525,517.1776249999999,541.252084
sections.membership.results.indexed.metrics.edge_capacity,5,512,512,512
sections.membership.results.indexed.metrics.edges,5,511,511,511
sections.membership.results.indexed.metrics.ep_buffer_words,5,522,522,522
sections.membership.results.indexed.metrics.ep_capacity,5,512,512,512
sections.membership.results.indexed.metrics.explicit_witness_words,5,2052,2052,2052
sections.membership.results.indexed.metrics.gates,5,724799,724799,724799
sections.membership.results.indexed.metrics.hidden_words,5,605663,605663,605663
sections.membership.results.indexed.metrics.imul_constraints,5,0,0,0
sections.membership.results.indexed.metrics.input_preflight_ms,5,0.467875,0.460083,0.49741599999999997
sections.membership.results.indexed.metrics.log_inv_rate,5,1,1,1
sections.membership.results.indexed.metrics.max_multiplicity,5,3,3,3
sections.membership.results.indexed.metrics.max_multiplicity_entry,5,509,509,509
sections.membership.results.indexed.metrics.membership_coefficient_or_index_words,5,1022,1022,1022
sections.membership.results.indexed.metrics.membership_inverse_hint_words,5,0,0,0
sections.membership.results.indexed.metrics.membership_queries,5,1022,1022,1022
sections.membership.results.indexed.metrics.membership_total_advice_words,5,1022,1022,1022
sections.membership.results.indexed.metrics.multiplicity_bits,5,12,12,12
sections.membership.results.indexed.metrics.native_constraint_count,5,608750,608750,608750
sections.membership.results.indexed.metrics.nodes,5,447,447,447
sections.membership.results.indexed.metrics.private_input_words,5,605663,605663,605663
sections.membership.results.indexed.metrics.proof_bytes,5,624976,624976,624976
sections.membership.results.indexed.metrics.prove_total_ms,5,544.1252920000001,530.686292,554.439291
sections.membership.results.indexed.metrics.prover_setup_ms,5,97.24954199999999,96.27737499999999,102.125833
sections.membership.results.indexed.metrics.public_words,5,1123,1123,1123
sections.membership.results.indexed.metrics.rayon_num_threads,5,8,8,8
sections.membership.results.indexed.metrics.rows,5,512,512,512
sections.membership.results.indexed.metrics.setup_ms,5,701.7102910000001,692.611708,707.001417
sections.membership.results.indexed.metrics.total_ms,5,1363.570375,1346.9895410000001,1368.258958
sections.membership.results.indexed.metrics.value_words,5,606786,606786,606786
sections.membership.results.indexed.metrics.verifier_setup_ms,5,189.31625,187.239167,194.045
sections.membership.results.indexed.metrics.verify_ms,5,117.173458,115.77374999999999,122.709458
sections.membership.results.indexed.metrics.witness_localcheck_ms,5,13.508625,13.102125,13.903833
sections.membership.results.indexed.metrics.zero_allocated,5,32768,32768,32768
sections.membership.results.indexed.metrics.zero_constraints,5,22365,22365,22365
sections.membership.results.indexed.resources.peak_memory_footprint_bytes,5,1535903304,1531020872,1542014536
sections.membership.results.indexed.resources.peak_rss_bytes,5,1595621376,1590738944,1601732608
sections.membership.results.indexed.resources.wall_seconds,5,1.520705624949187,1.511260500003118,1.5399731249781325
sections.membership.results.logup.metrics.addr_bits,5,24,24,24
sections.membership.results.logup.metrics.and_allocated,5,131072,131072,131072
sections.membership.results.logup.metrics.and_constraints,5,107442,107442,107442
sections.membership.results.logup.metrics.bmul_allocated,5,16384,16384,16384
sections.membership.results.logup.metrics.bmul_constraints,5,10225,10225,10225
sections.membership.results.logup.metrics.cfg_buffer_words,5,522,522,522
sections.membership.results.logup.metrics.circuit_build_ms,5,225.706542,225.5405,230.552583
sections.membership.results.logup.metrics.committed_words,5,262144,262144,262144
sections.membership.results.logup.metrics.crypto_prove_ms,5,163.685416,161.623959,166.21195899999998
sections.membership.results.logup.metrics.edge_capacity,5,512,512,512
sections.membership.results.logup.metrics.edges,5,511,511,511
sections.membership.results.logup.metrics.ep_buffer_words,5,522,522,522
sections.membership.results.logup.metrics.ep_capacity,5,512,512,512
sections.membership.results.logup.metrics.explicit_witness_words,5,2054,2054,2054
sections.membership.results.logup.metrics.gates,5,358059,358059,358059
sections.membership.results.logup.metrics.hidden_words,5,158297,158297,158297
sections.membership.results.logup.metrics.imul_constraints,5,0,0,0
sections.membership.results.logup.metrics.input_preflight_ms,5,0.48270799999999997,0.46091699999999997,0.517834
sections.membership.results.logup.metrics.log_inv_rate,5,1,1,1
sections.membership.results.logup.metrics.max_multiplicity,5,3,3,3
sections.membership.results.logup.metrics.max_multiplicity_entry,5,509,509,509
sections.membership.results.logup.metrics.membership_coefficient_or_index_words,5,1024,1024,1024
sections.membership.results.logup.metrics.membership_inverse_hint_words,5,3068,3068,3068
sections.membership.results.logup.metrics.membership_queries,5,1022,1022,1022
sections.membership.results.logup.metrics.membership_total_advice_words,5,4092,4092,4092
sections.membership.results.logup.metrics.multiplicity_bits,5,12,12,12
sections.membership.results.logup.metrics.native_constraint_count,5,155251,155251,155251
sections.membership.results.logup.metrics.nodes,5,447,447,447
sections.membership.results.logup.metrics.private_input_words,5,158297,158297,158297
sections.membership.results.logup.metrics.proof_bytes,5,542224,542224,542224
sections.membership.results.logup.metrics.prove_total_ms,5,169.131791,167.052459,171.667083
sections.membership.results.logup.metrics.prover_setup_ms,5,47.360416,46.715792,47.829375
sections.membership.results.logup.metrics.public_words,5,1133,1133,1133
sections.membership.results.logup.metrics.rayon_num_threads,5,8,8,8
sections.membership.results.logup.metrics.rows,5,512,512,512
sections.membership.results.logup.metrics.setup_ms,5,434.262916,425.829166,434.645
sections.membership.results.logup.metrics.total_ms,5,719.415083,712.861459,719.719291
sections.membership.results.logup.metrics.value_words,5,159430,159430,159430
sections.membership.results.logup.metrics.verifier_setup_ms,5,160.407375,152.249208,161.729084
sections.membership.results.logup.metrics.verify_ms,5,113.367958,112.718083,117.114541
sections.membership.results.logup.metrics.witness_localcheck_ms,5,5.446333,5.411291,5.47625
sections.membership.results.logup.metrics.zero_allocated,5,65536,65536,65536
sections.membership.results.logup.metrics.zero_constraints,5,37584,37584,37584
sections.membership.results.logup.resources.peak_memory_footprint_bytes,5,954287256,952861848,956335256
sections.membership.results.logup.resources.peak_rss_bytes,5,979435520,978010112,981483520
sections.membership.results.logup.resources.wall_seconds,5,0.8992167079704814,0.8961647499818355,0.9068041670252569
sections.mode-auth.across_applications.complete.authority_provision_ms,21,6.059000035747886,4.864083020947874,8.995249983854592
sections.mode-auth.across_applications.complete.device_sign_ms,21,21.57320803962648,6.5912079880945385,1306.6865840228274
sections.mode-auth.across_applications.complete.private_bytes,21,29966,2478,2132819
sections.mode-auth.across_applications.complete.public_bytes,21,3179,3163,3186
sections.mode-auth.across_applications.complete.public_preflight_ms,21,0.41,0.308,12.105
sections.mode-auth.across_applications.complete.registry_bytes,21,2070,2054,2077
sections.mode-auth.across_applications.complete.report_bytes,21,1109,1109,1109
