attempted,backend,family,kind,metrics,mode,outcome,repetition,returncode,source_ep_rows,verified
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.113560167, ""process_wall_s"": 0.4139208330307156, ""proof_bytes"": 519664, ""prove_total_s"": 0.114358833, ""setup_s"": 0.198956042, ""verify_s"": 0.08581425, ""witness_localcheck_s"": 0.000798625}",complete,verified,1,0,128,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.115815833, ""process_wall_s"": 0.4287692919606343, ""proof_bytes"": 519664, ""prove_total_s"": 0.116611458, ""setup_s"": 0.2025875, ""verify_s"": 0.094182375, ""witness_localcheck_s"": 0.000795583}",shadow,verified,1,0,128,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.131156209, ""process_wall_s"": 0.48859491699840873, ""proof_bytes"": 527216, ""prove_total_s"": 0.132602541, ""setup_s"": 0.235690625, ""verify_s"": 0.10231225, ""witness_localcheck_s"": 0.001446291}",shadow,verified,1,0,256,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.128492542, ""process_wall_s"": 0.48903641605284065, ""proof_bytes"": 527216, ""prove_total_s"": 0.12993625, ""setup_s"": 0.240442333, ""verify_s"": 0.101108875, ""witness_localcheck_s"": 0.001443584}",complete,verified,1,0,256,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.153291125, ""process_wall_s"": 0.6157532089855522, ""proof_bytes"": 534768, ""prove_total_s"": 0.156107875, ""setup_s"": 0.319681417, ""verify_s"": 0.115376417, ""witness_localcheck_s"": 0.002816625}",complete,verified,1,0,512,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.14507575, ""process_wall_s"": 0.5857240839977749, ""proof_bytes"": 534768, ""prove_total_s"": 0.14777775, ""setup_s"": 0.305817167, ""verify_s"": 0.1077845, ""witness_localcheck_s"": 0.002701916}",shadow,verified,1,0,512,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.18617475, ""process_wall_s"": 0.8124272499699146, ""proof_bytes"": 542320, ""prove_total_s"": 0.19159425, ""setup_s"": 0.462502125, ""verify_s"": 0.12443, ""witness_localcheck_s"": 0.005419375}",shadow,verified,1,0,1024,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.181352833, ""process_wall_s"": 0.8054330419981852, ""proof_bytes"": 542320, ""prove_total_s"": 0.186828542, ""setup_s"": 0.45799575, ""verify_s"": 0.126513625, ""witness_localcheck_s"": 0.005475625}",complete,verified,1,0,1024,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.260789375, ""process_wall_s"": 1.210317249991931, ""proof_bytes"": 580384, ""prove_total_s"": 0.27079675, ""setup_s"": 0.732450291, ""verify_s"": 0.152722375, ""witness_localcheck_s"": 0.010002375}",complete,verified,1,0,2048,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.253130042, ""process_wall_s"": 1.2045492500183173, ""proof_bytes"": 580384, ""prove_total_s"": 0.262976042, ""setup_s"": 0.735540584, ""verify_s"": 0.152876125, ""witness_localcheck_s"": 0.009845792}",shadow,verified,1,0,2048,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.577310917, ""process_wall_s"": 2.2578786250087433, ""proof_bytes"": 625136, ""prove_total_s"": 0.5979965, ""setup_s"": 1.338444125, ""verify_s"": 0.224906375, ""witness_localcheck_s"": 0.020685417}",shadow,verified,1,0,4096,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.586820833, ""process_wall_s"": 2.2754395000520162, ""proof_bytes"": 625136, ""prove_total_s"": 0.607235042, ""setup_s"": 1.345325208, ""verify_s"": 0.225973709, ""witness_localcheck_s"": 0.020414125}",complete,verified,1,0,4096,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.594161666, ""process_wall_s"": 2.28604879201157, ""proof_bytes"": 625136, ""prove_total_s"": 0.614798458, ""setup_s"": 1.346638917, ""verify_s"": 0.229902875, ""witness_localcheck_s"": 0.0206365}",shadow,verified,2,0,4096,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.594080958, ""process_wall_s"": 2.280704082979355, ""proof_bytes"": 625136, ""prove_total_s"": 0.614574333, ""setup_s"": 1.341303792, ""verify_s"": 0.227234334, ""witness_localcheck_s"": 0.02049325}",complete,verified,2,0,4096,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.255875292, ""process_wall_s"": 1.2042452919995412, ""proof_bytes"": 580384, ""prove_total_s"": 0.265928625, ""setup_s"": 0.732411291, ""verify_s"": 0.152859625, ""witness_localcheck_s"": 0.01005325}",complete,verified,2,0,2048,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.253266167, ""process_wall_s"": 1.2030169580248185, ""proof_bytes"": 580384, ""prove_total_s"": 0.263272916, ""setup_s"": 0.731407417, ""verify_s"": 0.155094958, ""witness_localcheck_s"": 0.010006583}",shadow,verified,2,0,2048,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.182601166, ""process_wall_s"": 0.801664459053427, ""proof_bytes"": 542320, ""prove_total_s"": 0.188036833, ""setup_s"": 0.454393625, ""verify_s"": 0.126134834, ""witness_localcheck_s"": 0.005435625}",shadow,verified,2,0,1024,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.180260166, ""process_wall_s"": 0.795961374999024, ""proof_bytes"": 542320, ""prove_total_s"": 0.18566225, ""setup_s"": 0.450931083, ""verify_s"": 0.1256805, ""witness_localcheck_s"": 0.005402042}",complete,verified,2,0,1024,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.136882167, ""process_wall_s"": 0.579436749976594, ""proof_bytes"": 534768, ""prove_total_s"": 0.139590833, ""setup_s"": 0.308205083, ""verify_s"": 0.107555375, ""witness_localcheck_s"": 0.002708542}",complete,verified,2,0,512,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.148118208, ""process_wall_s"": 0.5964015000499785, ""proof_bytes"": 534768, ""prove_total_s"": 0.150865459, ""setup_s"": 0.313242792, ""verify_s"": 0.108286792, ""witness_localcheck_s"": 0.002747209}",shadow,verified,2,0,512,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.121336875, ""process_wall_s"": 0.4729723749915138, ""proof_bytes"": 527216, ""prove_total_s"": 0.122760333, ""setup_s"": 0.233276416, ""verify_s"": 0.099569333, ""witness_localcheck_s"": 0.0014233749999999997}",shadow,verified,2,0,256,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.119488541, ""process_wall_s"": 0.46359287499217317, ""proof_bytes"": 527216, ""prove_total_s"": 0.120920458, ""setup_s"": 0.230249792, ""verify_s"": 0.095144834, ""witness_localcheck_s"": 0.001431917}",complete,verified,2,0,256,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.107611375, ""process_wall_s"": 0.40398716600611806, ""proof_bytes"": 519664, ""prove_total_s"": 0.108390584, ""setup_s"": 0.193557542, ""verify_s"": 0.086936542, ""witness_localcheck_s"": 0.000779084}",complete,verified,2,0,128,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.11129825, ""process_wall_s"": 0.4126402920228429, ""proof_bytes"": 519664, ""prove_total_s"": 0.112077875, ""setup_s"": 0.196885833, ""verify_s"": 0.088895458, ""witness_localcheck_s"": 0.000779583}",shadow,verified,2,0,128,True
